name,city
Bayside FC,Northeast
Beachside of Connecticut,Northeast
Blau Weiss Gottschee,Northeast
Cedar Stars Academy Bergen,Northeast
Downtown United Soccer Club,Northeast
FA Euro New York,Northeast
FC Greater Boston Bolts,Northeast
FC Westchester,Northeast
IFA,Northeast
Long Island Soccer Club,Northeast
Metropolitan Oval,Northeast
NEFC,Northeast
New England Revolution,Northeast
New York City FC,Northeast
New York SC,Northeast
Oakwood Soccer Club,Northeast
Rochester NY FC,Northeast
Seacoast United,Northeast
Valeo Futbol Club,Northeast
Intercontinental Football Academy of New England,Northeast
